```csv
"발신부서","제목","붙임파일명","생산문서번호","접수일","마감일"
"경상북도교육청","[제출] 2025년 전공심화동아리(전국기능경기대회) 참가 현황 및 전략 제출","2025년 전국기능경기대회 참가 현황 및 전략 1부.","창의인재과-12437","2025. 4. 22.","2025. 5. 2.(금)까지"
"경북지사","2025 광주광역시 제60회 전국기능경기대회 참가원서 접수 계획 알림","1. 2025 광주광역시 제60회 전국기능경기대회 참가원서 접수계획 1부.; 2. 2025 전국대회 접수 대상자(경상북도 금,은,동,우수 입상자) 명단(특성화고 등) 1부.; 3. 2025 광주광역시 제60회 전국기능경기대회 개최 공고문 1부.","경북지사(직업능력개발부)-1581","2025. 4. 28.","2025. 5. 12.(월) 18:00 마감"
"경상북도교육청","[제출] 2025학년도 전공심화동아리(기능경기대회) 안전관련 예산 신청","2025학년도 전공심화동아리 안전관련 예산 신청서 1부.","창의인재과-13263","2025. 4. 29.","2025. 5. 13.(화)까지"
"경상북도교육청","[참석] 2025년 전국기능경기대회 대비 전공심화동아리 지도교사 설명회 실시","2025년 전국기능경기대회 대비 전공심화동아리 지도교사 설명회 계획 1부.","창의인재과-13374","2025. 4. 30.","2025. 5. 8.(목)까지"
"경상북도교육청","[안내] 2025년 전국기능경기대회 준비를 위한 현장 지원 안내","2025년 전국기능경기대회 준비를 위한 현장 지원 계획 1부.","창의인재과-14168","2025. 5. 12.","N/A"
"경상북도교육청","[신청] 2025학년도 1학기 디지털새싹 프로그램 안내","디지털새싹 프로그램 신청 안내 1부.","창의인재과-14592","2025. 5. 14.","2025. 7. 31.(목)"
"경상북도교육청","[안내] 2025 현대오토에버와 함께하는 고교생 IT꿈나무 성장지원사업(화이트해커 양성교육)","1. 2025년 IT 꿈나무 성장지원 사업 참가자 모집 공고문 1부.; 2. 2025년 IT 꿈나무 성장지원 사업 참가자 모집 포스터 1부.","창의인재과-14676","2025. 5. 15.","2025. 5. 30.(금) 17:00 마감"
"경상북도교육청","[안내/제출] 2024년 전국기능경기대회 개최 유공 표창 계획 안내","2024년 전국기능경기대회 유공자 표창 계획 1부.","창의인재과-14739","2025. 5. 15.","2025. 5. 28.(수)까지"
"경상북도교육청","[지출/안내] 2025학년도 전공심화동아리 숙련기술전수 운영비 교부","1. 전출금 및 보조금 지출품의서 1부.; 2. 2025학년도 전공심화동아리 숙련기술전수 운영비 교부 계획 1부.; 3. 집행결과 정산보고 1부.; 4. 집행결과 정산보고 예산집행내역 1부.; 5. [참고용] 정산보고 공문 제출 양식 1부.","창의인재과-14742","2025. 5. 15.","2025. 10 31.(금)까지"
"시청자미디어재단","2025년 청소년 '바른 AI?디지털 생활 창작 공모전' 홍보 협조 요청","1. 시청자미디어재단 찾아가는 미디어교육 지원사업 공모 안내문 1부; 2. (포스터 작품 제출용) 신청서 양식 1부; 3. 포스터 1부.","서울센터-1709","2025. 5. 30.","2025. 07. 28(월) 자정(24:00)까지"
"한양대학교 ERICA","‘한양대와 함께하는 2025 전국 청소년 오픈SW GAME 코딩 대회 with 파이썬’ 안내 요청","[한양대와 함께하는 2025 전국 청소년 오픈SW GAME 코딩 대회 with 파이썬] 안내문 1부","Y1543-2025-269","2025. 6. 2.","2025. 9. 7 (일)"
"로보그램코딩교육센터","2025 여름방학 실습형 AI·SW 코딩 캠프 운영 제안의 건","공문25-015_2025 여름방학 실습형 AI·SW 코딩 캠프 운영 제안의 건.pdf 1부","M00041-668186","2025. 6. 4.","N/A"
"경북지사","2025 광주광역시 제60회 전국기능경기대회 심사위원 후보자 공모 안내","2025년 전국기능경기대회 심사위원 공개모집 공고문 1부.","경북지사(직업능력개발부)-2025","2025. 6. 4.","2025. 6. 11(수)"
"경북지사","2025 경상북도 제60회 전국기능경기대회 과제 출제 의뢰 알림","1. 제60회 전국기능경기대회 과제 출제 계획 1부.; 2. 제60회 전국기능경기대회 과제 작성지침 1부.; 3. 제60회 전국기능경기대회 과제 출제양식 1부.; 4. 제60회 전국기능경기대회 과제 출제자 명단 제출 양식 1부.; 5. 2025년 경상북도 기능경기대회 1위(금) 입상자 명단 1부.","경북지사(직업능력개발부)-2027","2025. 6. 5.","’25. 6. 10.(화)까지"
"경상북도교육청","[안내/신청] 2025년 전국기능경기대회 대비 평가전 지원 계획 안내","2025년 전국기능경기대회 대비 평가전 지원 계획 1부.","창의인재과-16769","2025. 6. 12.","N/A"
"경북지사","2025 광주광역시 제60회 전국기능경기대회 숙소 예약 현황 요청","제60회 전국기능경기대회 경상북도 선수단 숙소 예약 현황(서식) 1부.","경북지사(직업능력개발부)-2143","2025. 6. 13.","2025. 6. 30.(월)까지"
"경상북도교육청","[지출/안내] 2025년 전국기능경기대회 전공심화동아리 심화교육 운영비 교부","1. 전출금 및 보조금 지출품의서 1부.; 2. 2025학년도 전국기능경기대회 전공심화동아리 심화교육 운영비 교부 계획 1부.; 3. 집행결과 정산보고 1부.; 4. 집행결과 정산보고 예산집행내역 1부.; 5. [참고용] 정산보고 공문 제출 양식 1부.","창의인재과-17030","2025. 6. 16.","2025. 12. 31.(금)까지"
"연암공과대학교","2025학년도 연암공과대학교 스마트소프트웨어학과 하계 코딩스쿨 참여자 모집","N/A (붙임 파일 정보 미기재)","스마트소프트웨어학과-551","2025. 6. 16.","2025. 07. 11.(금) 까지"
"경북지사","2025 국내 기능경기대회 우수사례 수기공모전 시행알림","2025 국내 기능경기대회 우수사례 수기공모전 공고문 1부.","경북지사(직업능력개발부)-2260","2025. 6. 23.","‘25. 7. 30.(수)"
"경북지사","제60회 전국기능경기대회 경상북도 선수단 훈련지원비 등 지급 계좌정보 회신 요청","2025년 제60회 전국대회 훈련지원비 계좌정보 파악 양식 1부(PW: 2025@).","경북지사(직업능력개발부)-2493","2025. 7. 3.","’25. 7. 7.(월)까지"
"한국과학창의재단","「2025 온라인 코딩파티 시즌1」 체험행사 개최 알림","1. 2025 온라인 코딩파티 시즌1 행사 안내 1부.; 2. 2025 온라인 코딩파티 시즌1 포스터 1부.; 3. 2025 온라인 코딩파티 시즌1 자주묻는질문(FAQ) 1부.","SWAI인재양성팀-938","2025. 7. 8.","2025. 7. 27.(일)"
"경상북도교육청","[안내] 2025학년도 하계 현장기술연수 선발 명단 안내","2025학년도 하계 현장기술연수 선발 명단 1부.","창의인재과-18818","2025. 7. 9.","N/A"
"경상북도경주교육지원청","[안내] 글로벌 에티켓 숏폼전 결과 알림","글로벌 에티켓 숏폼전 결과 1부.","교육지원과-26826","2025. 7. 10.","2025. 7. 17.(목) 17:00까지"
"한양대학교 ERICA","“한양대와 함께하는 2025 전국 청소년 오픈SW GAME 코딩대회 with 파이썬” 포스터 안내","[붙임1] 2025 경진대회 포스터","Y1543-2025-303","2025. 7. 14.","2025. 9. 7 (일)"
"경상북도교육청","[참석] 2025년 디지털기술(AWS PartyRock) 활용 수업혁신 직무연수 대상자 안내","2025년 디지털 기술(AWS PartyRock) 활용 수업혁신 직무연수 대상자 명단 1부.","창의인재과-19160","2025. 7. 14.","N/A"
"경북지사","2025 제60회 전국기능경기대회 대표선수단 격려방문 계획 알림","제60회 전국기능경기대회 경상북도 대표선수 격려방문 계획 1부 (pw2025@).","경북지사(직업능력개발부)-2789","2025. 7. 21.","N/A"
"경상북도교육청","[제출/참석] 2025년 광주광역시 제60회 전국기능경기대회 발대식 실시 안내","2025 광주광역시 제60회 전국기능경기대회 발대식 실시 계획 1부.","창의인재과-20061","2025. 7. 23.","2025. 7. 28.(월)까지"
"경상북도교육청","[지출/안내] 2025년 전국기능경기대회 대비 평가전 지원 예산 교부","1. 전출금 및 보조금 지출품의서 1부.; 2. 2025년 전국기능경기대회 대비 평가전 지원 예산 교부 계획 1부.; 3. 집행결과 정산보고 1부.; 4. 집행결과 정산보고 예산집행내역 1부.; 5. [참고용] 정산보고 공문 제출 양식 1부.","창의인재과-20547","2025. 7. 28.","2025. 12. 31.(금)까지"
"경상북도교육청","[안내/제출] 2025년 전국기능경기대회 참여 학교 전공심화동아리 자체 점검 안내","1. 2025년 전공심화동아리 운영 자체 점검표 1부.; 2. 기능경기대회 운영 개선방안 안내문 1부.; 3. 전공심화동아리 휴일연습 참여 동의서 1부.","창의인재과-20770","2025. 7. 30.","2025. 9. 2.(화)까지"
"경북지사","제60회 전국기능경기대회 경북 대표선수단 단체복 사이즈 회신 요청","조사양식 1부.","경북지사(직업능력개발부)-2918","2025. 7. 31.","’25. 8. 6(수)까지"
"경북지사","2025 광주광역시 제60회 전국기능경기대회 과제공개 계획 및 경기일정 알림","1. 전국기능경기대회 직종별 과제 공개일정 1부.; 2. 전국기능경기대회 일정 1부.; 3. 전국기능경기대회 과제 유형별 열람 방법 매뉴얼 1부.","경북지사(직업능력개발부)-2947","2025. 8. 1.","N/A"
"시청자미디어재단","전국 청소년 대상「2025년 청소년 AI 콘텐츠 경진대회」참가 협조요청(~8.21.까지)","1. 2025년 청소년 AI 콘텐츠 경진대회 공고문 1부.; 2. 경진대회 홍보자료(포스터).","광주센터-3757","2025. 8. 8.","~8. 21.(목) 자정까지"
